Term [en],Description [en],Part of Speech [en],Status [en],Type [en],Gender [en],Note [en],Url [en],Term [be],Description [be],Part of Speech [be],Status [be],Type [be],Gender [be],Note [be],Url [be],Term [pl],Description [pl],Part of Speech [pl],Status [pl],Type [pl],Gender [pl],Note [pl],Url [pl],Term [ru],Description [ru],Part of Speech [ru],Status [ru],Type [ru],Gender [ru],Note [ru],Url [ru],Term [uk],Description [uk],Part of Speech [uk],Status [uk],Type [uk],Gender [uk],Note [uk],Url [uk],Concept Definition,Concept Subject,Concept Note,Concept Url,Concept Figure,Translatable
Spirit's Eve,,,,,,,,Ноч Духаў,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Luau,,,,,,,,Луау,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Abigail,,,,,,,,Эбігейл,,,,,FEMININE,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sebastian,,,,,,,,Сэбастыян,,,,,MASCULINE,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
gridball,,,,,,,,грыдбол,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Haley,,,,,,,,Хэйлі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Caroline,,,,,,,,Кэралайн,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Clint,,,,,,,,Клінт,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Demetrius,,,,,,,,Дэметрыюс,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Maru,,,,,,,,Мару,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Robin,,,,,,,,Робін,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pam,,,,,,,,Пэм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
tomato,,,,,,,,памідор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
water retaining soil,,,,,,,,вадазахавальная глеба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Elliott,,,,,,,,Элліёт,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gus,,,,,,,,Гас,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Coop,,,,,,,,Катух,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Stardew,,,,,,,,Стардзю,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sunflower,,,,,,,,Сонечнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
hardwood,,,,,,,,цвёрдая драўніна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Slime,,,,,,,,Слізь,"Рэчыва, якое пакідаюць пасля сябе смаўжы",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pierre,,,,,,,,П’ер,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wizard,,,,,,,,Чараўнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
horesradish,,,,,,,,Хрэн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Saloon,,,,,,,,шынок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Evelyn,,,,,,,,Эвелін,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Exhaustion,,,,,,,,знямога,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ring,,,,,,,,пярсцёнак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fall,,,,,,,,восень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
sprinkler,,,,,,,,спырсквальнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Feast of the Winter Star,,,,,,,,Бяседа Зімняй Зоркі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Agricultural Fund,,,,,,,,сельскагаспадарчы фонд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lewis,,,,,,,,Льюіс,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Emily,,,,,,,,Эмілі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Marnie,,,,,,,,Марні,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shane,,,,,,,,Шэйн,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sandy,,,,,,,,Сэндзі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Linus,,,,,,,,Лінус,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
George,,,,,,,,Джордж,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Jodi,,,,,,,,Джодзі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Kent,,,,,,,,Кент,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Willy,,,,,,,,Уіллі,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Penny,,,,,,,,Пэнні,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Journey Of The Prairie King,,,,,,,,Падарожжа караля прэрый,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
